BYDDF
BCS
BNR
ICL
PSA
SUPN
QRTEA
MESA
AAPL
FEYE
ARWR
VIACA
HMRZF
HNNMY
AZN
SIMO
CLNE
CVS
JD
TREX
TDOC
SKX
BCOV
MKSI
CPRX
LHSIF
GLPG
GLPGF
INBK
GATO
CRNT
PKE
TRIT
NTDOF
NTDOY
MSFT
SHMP
SABR
NSRGF
ET
FLO
NSRGF
NSRGY
ALT
PING
HCA
INTC
MTH
ABXXF
OGZPY
CAKE
WFCF
EPC
ZUO
BABA
DG
OMC
MODVF
KMB
LRCX
BABA
NOC
LUMN
CWCO
AMD
CAJ
CATO
FNB
LI
SYRS
BUROF
AAPL
FIS
GTBIF
EXPC
FRHC
MESA
EZPW
ACET
RPTX
MET
